Customer_Name,Quantity,Total_Retail_Price,Product_Name,Supplier
Kyndal Hooks,2,$69.40,"Kids Sweat Round Neck,Large Logo",US 3298
Kyndal Hooks,1,$14.30,Fleece Cuff Pant Kid'S,US 1303
Dericka Pockran,3,$37.80,Children's Mitten,US 772
Wendell Summersby,1,$39.40,Bozeman Rain & Storm Set,US 772
Sandrina Stephano,1,$52.50,Teen Profleece w/Zipper,US 772
Wendell Summersby,1,$50.40,Butch T-Shirt with V-Neck,ES 4742
Karen Ballinger,2,$134.00,Children's Knit Sweater,ES 4742
Wendell Summersby,2,$134.00,Children's Knit Sweater,ES 4742
Patricia Bertolozzi,1,$23.50,Strap Pants BBO,ES 798
Kyndal Hooks,4,$56.80,Osprey France Nylon Shorts,US 3664
Karen Ballinger,3,$60.90,Osprey Girl's Tights,US 3664
Karen Ballinger,2,$60.60,Logo Coord.Children's Sweatshirt,US 2963
David Black,1,$117.60,Big Guy Men's Clima Fit Jacket,US 1303
Robert Bowerman,2,$189.40,Big Guy Men's Micro Fibre Jacket,US 1303
Karen Ballinger,1,$32.60,Big Guy Men's Running Shorts Dri.Fit,US 1303
Wendell Summersby,1,$17.00,Insu F.I.T Basic,US 1303
Kyndal Hooks,3,$33.60,Toto Tube Socks,US 1303
Soberina Berent,1,$8.20,Trois-fit Running Qtr Socks (Non-Cush),US 1303
Avinoam Zweig,2,$80.40,Woman's Dri Fit Airborne Top,US 1303
Tonie Asmussen,1,$29.40,Woman's Dri-Fit Scoop Neck Bra,US 1303
Avinoam Zweig,2,$114.20,Woman's Work Out Pants Dri Fit,US 1303
Dericka Pockran,2,$180.40,Fleece Jacket Compass,US 772
Dianne Patchin,4,$142.40,Instyle Pullover Mid w/Small Zipper,US 772
Karen Ballinger,2,$231.60,Mayday Resque Fleece Pullover,US 4646
Robert Bowerman,1,$73.99,Armadillo Road Dmx Men's Running Shoes,CA 16733
Wendell Summersby,3,$222.30,Zx Women's Dance Pants,CA 16733
Karen Ballinger,2,$19.20,Socks Wmns'Fitness,US 1303
David Black,2,$48.40,Swimming Trunks Struc,US 2963
Robert Bowerman,5,$192.00,Casual Genuine Polo-Shirt,US 2963
Sandrina Stephano,2,$33.80,Comp. Women's Sleeveless Polo,US 2963
