Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
120102,Tom,Zhou,M,108255,Sales Manager,AU,3510,10744
120103,Wilson,Dawes,M,87975,Sales Manager,AU,-3996,5114
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,-5630,5114
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,-1984,6756
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,1732,9405
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,-233,6999
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,-1852,6999
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,10490,17014
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,6943,14184
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,9691,17106
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,1787,9405
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,9114,16922
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,7207,15706
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,-3923,6848
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,9608,17075
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,-3861,5114
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,3313,13788
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,7198,15737
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,7010,16861
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,7131,16983
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,9726,17045
120140,Michael,Minas,M,26970,Sales Rep. I,AU,10442,17075
120141,Amanda,Liebman,F,27465,Sales Rep. II,AU,10298,16922
120142,Vincent,Eastley,M,29695,Sales Rep. III,AU,9661,16983
120143,Phu,Sloey,M,26790,Sales Rep. II,AU,-229,8309
120144,Viney,Barbis,M,30265,Sales Rep. III,AU,9562,17075
120145,Sandy,Aisbitt,M,26060,Sales Rep. II,AU,1482,9283
120146,Wendall,Cederlund,M,25985,Sales Rep. I,AU,-91,7518
120147,Skev,Rusli,F,26580,Sales Rep. II,AU,10245,17075
120148,Michael,Zubak,M,28480,Sales Rep. III,AU,-3762,6726
120149,Judy,Chantharasy,F,26390,Sales Rep. I,AU,5438,12054
120150,John,Filo,M,29965,Sales Rep. III,AU,-2002,8248
120151,Julianna,Phaiyakounh,F,26520,Sales Rep. II,AU,-5519,5114
120152,Sean,Dives,M,26515,Sales Rep. I,AU,7060,16527
120153,Samantha,Waal,F,27260,Sales Rep. I,AU,7066,13880
120154,Caterina,Hayawardhana,F,30490,Sales Rep. III,AU,-5643,5114
120155,Narelle,James,F,29990,Sales Rep. III,AU,8878,16892
120156,Gerry,Snellings,F,26445,Sales Rep. I,AU,10471,16861
120157,Leonid,Karavdic,M,27860,Sales Rep. II,AU,9548,17136
120158,Daniel,Pilgrim,M,36605,Sales Rep. III,AU,1656,10043
120159,Lynelle,Phoumirath,F,30765,Sales Rep. IV,AU,1515,9678
120160,Chuck,Segrave,M,27115,Sales Rep. I,AU,-1940,5387
120161,Rosette,Martines,F,30785,Sales Rep. III,AU,10293,17075
120162,Randal,Scordia,M,27215,Sales Rep. I,AU,10475,16833
120163,Brett,Magrath,M,26735,Sales Rep. II,AU,1603,11323
120164,Ranj,Stamalis,F,27450,Sales Rep. II,AU,-36,8067
120165,Tadashi,Pretorius,M,27050,Sales Rep. I,AU,8844,16861
120166,Fadi,Nowd,M,30660,Sales Rep. IV,AU,-5679,5114
120167,Kimiko,Tilley,F,25185,Sales Rep. I,AU,-2068,5145
120168,Selina,Barcoe,F,25275,Sales Rep. I,AU,8849,17106
120169,Cos,Tannous,M,28135,Sales Rep. III,AU,8767,16922
120170,Alban,Kingston,M,28830,Sales Rep. III,AU,5169,11962
120171,Alena,Moody,F,26205,Sales Rep. II,AU,8966,17045
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,-5753,5114
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,-2138,6361
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,-5835,5114
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,10457,17075
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,9809,17106
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,7034,13911
120178,Billy,Plested,M,26165,Sales Rep. II,AU,-1865,5204
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,5187,16071
120180,Vino,George,M,26970,Sales Rep. II,AU,-2014,6909
120198,Meera,Body,F,28025,Sales Rep. III,AU,10247,17136
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,3339,10074
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,-5842,5114
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,9672,16223
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,8819,15461
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,5457,12478
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,7240,15372
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,1533,10713
121024,Michael,Westlund,M,26600,Sales Rep. II,US,9030,16192
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,-3735,5722
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,9808,16892
121027,Allan,Rudder,M,26165,Sales Rep. II,US,1586,10927
121028,William,Smades,M,26585,Sales Rep. I,US,10344,17106
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,1817,10927
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,7255,15007
121031,Scott,Filan,M,28060,Sales Rep. III,US,1651,9344
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,10281,16861
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,9806,16223
121034,John,Kirkman,M,27110,Sales Rep. II,US,10462,17167
121035,James,Blackley,M,26460,Sales Rep. II,US,-5760,5114
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,10426,15979
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,5276,15400
121038,David,Anstey,M,25285,Sales Rep. I,US,10270,17014
121039,Donald,Washington,M,27460,Sales Rep. II,US,-2038,7426
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,-179,8340
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,-5810,5114
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,7033,14549
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,3600,11748
121044,Ray,Abbott,M,25660,Sales Rep. I,US,-1847,5691
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,1625,12419
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,9016,16983
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,7269,17045
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,8941,17045
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,9541,17136
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,9508,17136
121051,Glorina,Myers,F,26025,Sales Rep. I,US,-3896,6879
121052,Richard,Fay,M,26900,Sales Rep. II,US,9505,17106
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,-5578,5145
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,-1876,6149
121055,Clement,Davis,M,30185,Sales Rep. III,US,10234,17014
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,8952,15826
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,-6,7640
121058,Del,Kohake,M,26270,Sales Rep. I,US,5306,15614
